nacchoid,nutrition,tobacco,rurality,population
AK001,1,0,urban,301010
AK004,NA,NA,suburb,9703
AK101,1,0,suburb,418302
AL001,1,0,urban,55395
AL002,1,0,rural,200111
AL003,1,0,suburb,26887
AL004,1,1,suburb,22506
AL005,1,1,suburb,57719
AL006,1,NA,suburb,10764
AL007,1,1,rural,20296
AL008,0,0,urban,115916
AL009,1,1,suburb,34076
AL010,1,1,rural,26037
AL011,1,0,suburb,43931
AL012,1,1,rural,13323
AL013,1,1,rural,24945
AL014,1,1,rural,13552
AL015,1,1,suburb,15080
AL016,1,1,suburb,50909
AL017,1,1,urban,54543
AL018,1,1,rural,12670
AL019,1,0,rural,10886
AL020,1,1,suburb,37914
AL021,1,1,rural,13977
AL022,NA,NA,suburb,81289
AL023,1,1,suburb,49484
AL024,1,1,suburb,41711
AL025,1,1,rural,71065
AL027,1,0,urban,80977
AL028,1,1,suburb,37733
AL029,1,0,urban,103531
AL031,1,1,suburb,31601
AL032,1,1,rural,26712
AL033,NA,1,rural,8553
AL034,1,1,suburb,15184
AL035,1,1,rural,17190
AL036,1,1,urban,104193
AL037,0,1,suburb,52665
AL038,1,1,urban,660793
AL039,1,1,rural,14086
AL040,1,1,urban,93096
AL041,1,1,urban,33477
AL042,1,0,urban,154255
AL043,0,1,suburb,90787
AL044,1,1,urban,10580
AL045,1,0,suburb,19425
AL047,1,1,rural,20110
AL048,1,1,rural,30271
AL049,0,1,suburb,94636
AL050,1,1,urban,415123
AL051,1,1,suburb,21947
AL052,1,0,urban,226189
AL055,1,1,rural,9826
AL056,1,1,rural,20365
AL057,1,1,suburb,33389
AL059,1,1,suburb,22539
AL060,1,0,urban,59608
AL061,0,0,urban,206655
AL062,1,1,urban,86697
AL063,1,1,rural,13166
AL064,0,1,suburb,81322
AL065,1,1,suburb,41165
AL066,1,1,urban,202212
AL067,1,1,suburb,65471
AL068,1,1,rural,16834
AL069,1,1,rural,11098
AL070,1,1,rural,24150
AL080,1,NA,urban,119607
AR001,1,1,suburb,18594
AR002,1,1,suburb,20948
AR003,1,0,suburb,40857
AR004,1,1,urban,242321
AR005,1,1,suburb,37196
AR006,1,1,suburb,11148
AR007,1,1,rural,5202
AR008,1,NA,suburb,27744
AR009,1,1,suburb,11180
AR010,1,1,suburb,22576
AR011,1,0,suburb,15118
AR012,0,1,suburb,25634
AR013,1,1,urban,8449
AR014,0,1,suburb,23933
AR015,1,1,suburb,21083
AR016,1,1,urban,102518
AR017,1,1,urban,61697
AR018,1,1,urban,49548
AR019,1,1,suburb,17227
AR020,1,1,suburb,7755
AR021,1,1,suburb,12264
AR022,1,0,suburb,18622
AR023,1,1,suburb,120768
AR024,1,0,rural,12125
AR025,1,1,urban,97322
AR026,1,1,urban,18144
AR027,1,1,suburb,43694
AR028,1,1,suburb,22327
AR029,1,1,suburb,33368
AR030,1,1,suburb,13500
AR031,1,1,suburb,36959
AR032,1,1,rural,13486
AR033,1,1,suburb,17534
AR034,1,1,urban,72297
AR035,1,1,suburb,26005
AR036,1,1,rural,7111
AR037,NA,NA,suburb,16931
AR038,1,1,suburb,9860
AR039,1,1,rural,13970
AR040,1,1,suburb,12532
AR042,1,1,urban,71557
AR043,1,1,rural,15740
AR044,0,0,rural,16367
AR045,1,1,urban,43428
AR046,1,1,suburb,44235
AR047,1,1,suburb,7582
AR048,1,1,rural,9082
AR049,1,1,suburb,8723
AR050,1,1,suburb,7904
AR051,1,1,suburb,24828
AR052,1,1,rural,10245
AR053,1,1,suburb,19930
AR054,1,1,rural,11024
AR055,1,1,urban,24246
AR056,1,1,suburb,20225
AR057,1,1,suburb,63201
AR058,1,1,rural,8304
AR060,1,0,suburb,17571
AR061,1,1,urban,115719
AR062,1,1,suburb,10693
AR063,1,1,rural,7929
AR064,1,1,urban,126776
AR065,NA,0,suburb,17426
AR066,1,1,rural,16906
AR067,1,1,suburb,26899
AR068,1,1,rural,12494
AR069,1,0,suburb,40227
AR070,1,1,rural,16851
AR071,0,1,urban,220792
AR072,1,1,suburb,78592
AR073,1,1,rural,6910
AR074,1,1,suburb,21951
AR075,1,1,suburb,17805
AR110,1,1,suburb,21958
AR112,1,1,urban,392702
AZ001,1,1,suburb,71828
AZ002,1,1,suburb,127448
AZ003,1,1,urban,137682
AZ005,1,0,suburb,37957
AZ006,1,1,suburb,9346
AZ007,0,1,suburb,20231
AZ008,1,1,urban,4087191
AZ009,1,1,suburb,203361
AZ010,1,1,suburb,108101
AZ011,1,1,urban,1004516
AZ012,1,1,suburb,401918
AZ013,0,0,suburb,46695
AZ014,1,1,urban,218844
AZ015,1,1,urban,203247
AZ017,1,1,suburb,53119
CA004,1,1,urban,118853
CA005,1,1,suburb,224241
CA007,1,1,suburb,21419
CA009,1,NA,suburb,27212
CA010,1,1,suburb,183087
CA011,1,1,urban,965974
CA012,1,1,suburb,27955
CA013,1,1,suburb,134809
CA019,1,1,rural,31749
CA020,1,1,urban,473577
CA022,1,1,urban,154548
CA025,1,1,suburb,87869
CA026,1,1,urban,266353
CA029,1,1,urban,431344
CA031,1,1,suburb,98893
CA032,1,1,urban,3145515
CA033,1,1,urban,140881
CA034,1,1,urban,371694
CA036,1,1,urban,2329271
CA037,1,1,urban,1482026
CA038,NA,NA,suburb,58267
CA039,0,1,urban,2112619
CA040,1,1,urban,3263431
CA042,1,1,urban,715597
CA043,1,1,urban,279083
CA045,1,1,urban,9502247
CA046,1,1,urban,1894605
CA048,1,1,urban,179804
CA049,1,1,rural,3003
CA050,1,1,suburb,43628
CA051,1,1,urban,431131
CA052,0,0,urban,500292
CA053,1,1,urban,531997
CA054,1,1,urban,95847
CA055,1,1,suburb,63067
CA058,1,1,urban,458198
CA059,1,1,suburb,53831
CA060,1,1,urban,846178
CA062,1,1,suburb,207590
CA063,1,1,urban,73966
CA064,1,1,urban,440668
CO001,0,1,suburb,16177
CO003,1,1,suburb,17626
CO004,1,1,urban,62138
CO006,1,1,urban,313333
CO007,1,1,suburb,18363
CO009,1,1,rural,1871
CO011,0,1,rural,8265
CO012,1,1,rural,3568
CO013,1,1,rural,786
CO014,1,0,rural,4361
CO015,1,1,suburb,29870
CO017,1,1,rural,1978
CO018,NA,NA,suburb,52921
CO019,1,1,urban,663519
CO020,0,0,urban,24195
CO021,0,1,suburb,46502
CO023,1,0,suburb,57461
CO024,0,1,rural,5851
CO025,1,1,rural,14546
CO026,1,1,suburb,15725
CO029,1,1,urban,558503
CO030,1,1,rural,1402
CO031,1,1,suburb,8072
CO034,0,1,urban,324122
CO035,1,1,suburb,20514
CO036,1,1,rural,5510
CO037,1,1,urban,148255
CO038,1,1,rural,698
CO040,1,1,suburb,25772
CO042,1,1,suburb,40873
CO043,1,1,suburb,72545
CO045,1,1,suburb,23848
CO046,1,1,rural,4629
CO049,1,1,suburb,12034
CO050,1,1,urban,161875
CO052,0,1,rural,11607
CO054,1,1,rural,6196
CO055,1,1,suburb,66233
CO056,0,1,rural,720
CO058,1,1,suburb,29404
CO060,1,1,urban,23389
CO062,1,1,urban,1414177
CO064,1,1,urban,277670
CO074,1,1,rural,16345
CO079,1,1,rural,3645
CO085,0,1,urban,663862
CO086,0,0,suburb,7357
CO087,1,1,urban,9187
CT006,1,1,urban,84143
CT011,1,1,urban,70146
CT012,0,0,urban,17055
CT021,0,0,urban,14113
CT022,0,0,urban,83784
CT023,0,0,urban,21689
CT025,NA,NA,urban,7348
CT028,1,0,urban,51033
CT030,1,1,urban,71591
CT031,0,0,urban,7631
CT032,0,0,urban,6612
CT034,0,0,urban,108981
CT037,1,0,urban,34754
CT038,1,0,urban,62610
CT045,0,0,urban,6490
CT047,0,1,urban,121229
CT050,0,0,urban,18259
CT051,0,0,urban,58106
CT052,1,0,suburb,81095
CT054,1,1,urban,60293
CT058,1,0,urban,53358
CT060,1,0,urban,127273
CT062,0,0,urban,20314
CT064,1,1,urban,130282
CT068,0,0,urban,32028
CT071,0,0,urban,166207
CT073,1,0,urban,88145
CT075,1,0,urban,27917
CT079,0,0,urban,42514
CT082,0,0,urban,99787
CT083,0,0,urban,9309
CT091,0,0,urban,11303
CT092,0,0,urban,25823
CT096,1,1,urban,128278
CT098,1,1,urban,52734
CT102,0,1,urban,95759
CT106,1,1,urban,109307
CT112,0,0,urban,97835
CT116,1,1,urban,29069
CT119,0,0,urban,5288
CT122,0,0,urban,4316
CT130,1,1,urban,61616
CT131,0,1,urban,71964
CT132,NA,NA,suburb,133341
CT133,0,0,urban,19867
CT134,0,0,urban,36578
DC001,1,1,urban,658893
DE002,1,1,urban,552778
DE003,0,0,suburb,382836
FL001,1,0,urban,897698
FL002,1,1,urban,256380
FL003,1,1,suburb,27093
FL004,1,1,urban,178985
FL005,1,1,suburb,26702
FL006,1,1,urban,556885
FL007,1,1,urban,1869235
FL008,1,1,suburb,14532
FL009,1,1,urban,168474
FL010,1,1,suburb,139377
FL011,1,1,urban,199798
FL012,1,1,urban,348777
FL013,0,0,suburb,67857
FL014,1,1,urban,2662874
FL015,1,1,suburb,35012
FL016,1,0,suburb,15907
FL017,1,1,urban,310659
FL018,1,0,suburb,102408
FL019,NA,NA,suburb,11815
FL020,1,1,suburb,46281
FL021,1,0,rural,16997
FL022,1,1,suburb,15944
FL023,1,0,suburb,14048
FL024,1,1,suburb,27469
FL025,1,1,suburb,38505
FL026,1,1,urban,175855
FL027,1,1,suburb,98236
FL028,1,1,urban,1316298
FL029,1,1,rural,19650
FL030,1,1,urban,144755
FL032,1,1,rural,14050
FL033,0,0,rural,8835
FL034,1,1,urban,315690
FL035,1,1,urban,679513
FL036,1,1,urban,283988
FL037,1,0,urban,39613
FL038,0,1,rural,8360
FL039,1,1,suburb,18518
FL040,1,1,urban,351746
FL041,1,0,urban,339167
FL042,1,0,urban,153392
FL043,1,1,suburb,77136
FL044,1,1,suburb,76619
FL045,1,1,urban,196512
FL046,1,1,suburb,39149
FL047,1,1,urban,1253001
FL048,1,1,urban,310211
FL049,1,1,urban,1397710
FL050,1,1,urban,485331
FL051,NA,NA,urban,938098
FL052,1,1,suburb,634638
FL053,1,1,suburb,72143
FL054,1,1,urban,163422
FL055,1,1,urban,396962
FL056,1,1,urban,442516
FL057,1,0,urban,217919
FL058,1,1,urban,291028
FL060,1,1,suburb,44022
FL061,1,1,suburb,22582
FL062,1,1,suburb,15190
FL063,1,1,urban,507531
FL064,1,1,urban,31432
FL065,1,1,rural,61530
FL066,1,1,suburb,24451
FL069,1,1,suburb,13635
GA045,1,1,urban,722161
GA048,NA,1,urban,647774
GA132,1,1,suburb,151935
GA169,1,1,urban,661659
GA171,1,1,suburb,825070
GA172,1,1,urban,456516
GA173,1,1,urban,869757
GA174,1,1,urban,267542
GA176,1,1,urban,525486
GA178,1,1,urban,377661
GA179,1,1,urban,254656
GA180,1,1,urban,603435
GA181,1,1,suburb,364693
GA182,1,1,urban,475625
IA001,1,0,rural,7454
IA003,1,0,suburb,14038
IA006,0,0,rural,5794
IA009,1,0,urban,132897
IA010,0,0,suburb,26433
IA012,0,0,suburb,21038
IA013,1,0,suburb,20578
IA014,0,1,rural,15006
IA015,1,1,rural,9866
IA017,0,0,suburb,13448
IA018,1,1,suburb,18411
IA020,1,1,suburb,43254
IA022,0,1,suburb,12264
IA023,0,0,suburb,9217
IA024,1,1,suburb,16515
IA025,0,0,urban,17692
IA026,1,0,suburb,48051
IA027,0,0,urban,62245
IA028,1,1,urban,20454
IA031,1,1,urban,77400
IA033,1,1,rural,8263
IA034,0,0,suburb,17398
IA036,0,0,suburb,40255
IA038,0,0,urban,58436
IA040,0,0,urban,96370
IA041,0,0,suburb,15609
IA042,0,0,suburb,9990
IA046,1,1,suburb,36955
IA050,0,1,rural,12375
IA052,0,1,suburb,11027
IA053,1,1,rural,17311
IA057,1,1,suburb,9640
IA059,0,0,rural,16375
IA064,1,1,urban,142287
IA069,1,1,urban,217751
IA070,0,0,rural,11161
IA072,1,1,rural,11683
IA077,1,1,suburb,14831
IA079,1,0,suburb,8996
IA080,1,0,suburb,8001
IA082,0,0,suburb,42903
IA087,0,1,suburb,15496
IA088,0,0,suburb,9099
IA090,0,0,rural,7138
IA092,0,0,urban,459862
IA093,1,0,urban,93128
IA098,0,1,urban,171387
IA100,1,1,suburb,34681
IA101,1,1,urban,102271
IA104,0,0,rural,6143
IA106,0,0,rural,7468
IA108,0,0,suburb,22070
IA111,1,1,suburb,10559
IA112,1,0,suburb,20768
IA114,0,1,rural,7624
IA115,0,1,suburb,12840
IA116,1,1,suburb,15117
IA117,0,0,suburb,19482
IA123,NA,0,rural,7022
IA124,1,0,suburb,20562
IA125,0,0,urban,24721
IA126,0,0,suburb,40866
IA130,0,1,suburb,11948
IA131,1,1,suburb,47956
IA139,0,0,suburb,36872
ID001,1,1,urban,468980
ID002,1,1,urban,209623
ID003,1,1,urban,107033
ID004,1,1,urban,221398
ID005,1,1,urban,268080
ID006,1,1,suburb,190496
ID007,1,1,urban,168854
IL001,1,1,suburb,66988
IL002,1,1,suburb,17269
IL003,1,1,urban,53869
IL006,1,1,rural,4956
IL007,NA,1,rural,13156
IL008,1,1,urban,126557
IL009,1,0,urban,2722389
IL010,1,1,suburb,33892
IL011,NA,NA,suburb,13520
IL012,1,1,suburb,53320
IL013,1,1,urban,2324471
IL014,1,1,rural,10833
IL015,1,1,urban,105462
IL018,1,1,urban,932708
IL019,1,1,urban,61712
IL020,1,1,suburb,34320
IL021,1,1,suburb,44277
IL022,0,1,urban,75658
IL023,1,1,suburb,21870
IL027,0,1,rural,13434
IL028,1,1,suburb,50425
IL029,1,1,suburb,8296
IL030,1,1,suburb,18564
IL032,1,1,suburb,49635
IL033,1,1,suburb,59677
IL034,1,1,suburb,9623
IL036,1,1,suburb,22571
IL037,1,0,suburb,22254
IL038,1,1,urban,527306
IL039,1,1,urban,111375
IL040,1,1,urban,121350
IL042,NA,1,suburb,111241
IL043,1,1,urban,705186
IL045,1,1,suburb,34735
IL046,0,1,suburb,37903
IL047,NA,NA,suburb,29746
IL048,1,1,urban,108350
IL049,1,1,suburb,46453
IL050,1,1,urban,187319
IL051,NA,NA,suburb,13898
IL053,1,1,urban,307283
IL054,1,1,urban,174061
IL056,1,1,suburb,15945
IL057,0,1,suburb,32869
IL061,1,0,suburb,52085
IL062,0,0,suburb,16180
IL064,1,1,rural,14715
IL065,1,1,suburb,16022
IL067,1,1,urban,146063
IL069,1,1,suburb,7330
IL070,0,1,suburb,22048
IL072,1,1,urban,65112
IL073,1,1,rural,66665
IL075,1,1,urban,204017
IL078,1,0,urban,6818
IL079,1,1,urban,135707
IL080,1,0,urban,79728
IL081,1,1,suburb,11549
IL082,1,1,suburb,16543
IL083,1,1,suburb,56876
IL084,1,1,urban,685419
IL086,NA,NA,suburb,39187
IL087,0,0,suburb,37857
IL088,1,1,suburb,19393
IL089,1,1,suburb,17841
IL090,0,1,urban,266560
IL091,0,1,suburb,38571
IL092,1,1,rural,12014
IL093,1,1,suburb,14337
IL095,1,1,suburb,5204
IL103,1,1,suburb,17874
IL105,1,1,urban,33722
IL109,0,1,suburb,13688
IL110,0,1,suburb,28879
IN002,0,1,urban,365918
IN003,1,0,urban,80217
IN005,1,0,suburb,12401
IN006,0,1,suburb,61915
IN007,1,1,rural,14962
IN008,0,1,suburb,19923
IN009,0,1,suburb,38438
IN010,0,1,urban,114262
IN012,0,0,suburb,32776
IN014,0,0,suburb,32729
IN016,0,0,suburb,49506
IN017,1,1,suburb,26524
IN019,0,0,suburb,42345
IN020,0,0,urban,28990
IN021,1,1,urban,201971
IN023,NA,NA,urban,76179
IN024,0,1,suburb,25010
IN026,0,NA,suburb,20500
IN027,0,1,urban,77909
IN029,0,1,suburb,68569
IN030,0,0,suburb,32726
IN033,0,0,urban,71978
IN035,0,0,urban,156056
IN036,0,0,suburb,48995
IN037,0,0,urban,82982
IN039,0,1,suburb,43705
IN040,0,0,suburb,33475
IN041,1,0,suburb,21179
IN043,NA,NA,suburb,28000
IN044,1,1,urban,147538
IN045,0,0,suburb,37938
IN047,1,0,suburb,38436
IN052,1,1,urban,130069
IN053,1,1,urban,934243
IN054,0,0,suburb,47107
IN055,0,0,rural,10203
IN057,0,1,urban,143339
IN058,0,0,suburb,38146
IN059,NA,NA,suburb,69693
IN061,0,0,rural,47618
IN063,0,0,rural,19626
IN069,1,1,suburb,25540
IN071,1,0,suburb,37618
IN073,0,1,rural,28497
IN074,0,0,suburb,16892
IN075,0,1,suburb,23712
IN076,0,0,suburb,44579
IN077,0,0,rural,20801
IN078,1,0,urban,267618
IN080,0,0,suburb,34308
IN082,NA,NA,rural,10452
IN083,1,0,urban,183074
IN085,1,1,rural,7246
IN086,1,1,urban,182006
IN087,0,0,suburb,15693
IN088,1,1,urban,108175
IN091,0,1,suburb,27878
IN092,1,1,suburb,67671
IN093,0,0,suburb,27862
IN094,0,0,suburb,24453
KS001,1,0,rural,4897
KS002,1,1,suburb,27385
KS003,1,1,suburb,66227
KS007,1,1,rural,2693
KS008,0,0,rural,2144
KS009,1,1,suburb,8317
KS011,0,1,suburb,8433
KS012,1,1,rural,1954
KS013,1,1,suburb,35963
KS015,0,0,rural,2908
KS019,0,1,rural,2694
KS020,1,1,suburb,29013
KS021,1,1,suburb,6392
KS022,1,1,suburb,37184
KS024,1,1,suburb,25611
KS025,1,1,rural,2727
KS029,NA,NA,rural,1301
KS031,1,1,rural,5818
KS032,1,1,suburb,34820
KS033,1,1,rural,1916
KS034,1,1,urban,18855
KS035,1,1,rural,3043
KS036,1,1,urban,574272
KS037,1,1,suburb,36713
KS040,1,0,rural,2513
KS041,1,1,suburb,20960
KS043,1,1,urban,116585
KS044,1,1,suburb,78797
KS045,1,0,suburb,23465
KS046,1,1,rural,3167
KS047,NA,NA,rural,2794
KS049,NA,NA,rural,12208
KS050,1,1,suburb,10006
KS052,1,1,rural,4357
KS053,1,1,suburb,32822
KS054,1,1,suburb,6284
KS055,1,1,suburb,34065
KS056,1,1,rural,5698
KS057,1,1,rural,3110
KS059,1,1,rural,10148
KS062,NA,1,suburb,5560
KS064,1,0,rural,3756
KS065,1,1,rural,6065
KS066,1,NA,suburb,6328
KS067,1,1,suburb,6916
KS069,1,1,rural,22897
KS070,1,0,suburb,9850
KS072,1,1,suburb,63794
KS073,1,1,rural,4803
KS075,0,0,suburb,75194
KS076,1,1,rural,5155
KS077,0,0,rural,3197
KS078,1,1,suburb,6956
KS080,1,1,suburb,55755
KS081,1,0,suburb,5080
KS082,1,1,rural,2539
KS083,1,0,suburb,6110
KS084,1,1,rural,3769
KS086,1,0,rural,2111
KS088,1,1,suburb,7891
